NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
1	all	98	ALL
2	yard	736	YARD
3	fast	1631	FAST
4	hunger	1864	HUNGER
5	nine	1483	NINE
6	stool	2058	STOOL
7	year	1226	YEAR
8	father	1217	FATHER
9	I	1209	I
10	north	1598	NORTH
11	storm	858	STORM
12	tear	1651	TEAR (OF EYE)
13	bath		
14	young	564	YOUNG (OF MAN)
15	five	493	FIVE
16	is	1579	BE
17	open	1156	OPEN
18	ten	1515	TEN
19	better		
20	foot	1301	FOOT
21	knee	1371	KNEE
22	out	1107	GO OUT
23	to fight	1423	FIGHT
24	thing	738	THING
25	to bite	1403	BITE
26	four	1500	FOUR
27	lamb	820	LAMB
28	oven	1143	OVEN
29	thorn	124	THORN
30	blood	946	BLOOD
31	full	1429	FULL
32	leaf	628	LEAF
33	over	1741	ABOVE
34	ice	617	ICE
35	three	492	THREE
36	bone	1394	BONE
37	good	1035	GOOD
38	liver	1224	LIVER
39	quick	1631	FAST
40	thunder	1150	THUNDER
41	brother	1262	BROTHER
42	goose	1187	GOOSE
43	rain	658	RAIN (PRECIPITATION)
44	oak	644	OAK
45	toe	1389	TOE
46	calf	1989	CALF
47	green	1425	GREEN
48	mid	1093	MIDDLE
49	red	156	RED
50	tongue	1205	TONGUE
51	cold	1287	COLD
52	hand	1277	HAND
53	milk	635	MILK
54	right	1019	RIGHT
55	to swear	1939	SWEAR
56	tooth	1380	TOOTH
57	corn	605	GRAIN
58	head	1256	HEAD
59	moon	1313	MOON
60	ring	1374	RING
61	top	1753	TOP
62	cow	1007	COW
63	to hear	1408	HEAR
64	mother	1216	MOTHER
65	salt	1274	SALT
66	ash	646	ASH
67	two	1498	TWO
68	daughter	1357	DAUGHTER
69	heart	1223	HEART
70	mouse	1491	MOUSE
71	to see	1409	SEE
72	warm	1232	WARM
73	day	1225	DAY (NOT NIGHT)
74	holy	1702	HOLY
75	mouth	674	MOUTH
76	seven	1704	SEVEN
77	fish	227	FISH
78	to wash	1453	WASH
79	to drink	1401	DRINK
80	home	2406	HOME
81	nail	502	NAIL (TOOL)
82	sharp	1396	SHARP
83	what	1236	WHAT
84	ear	1247	EAR
85	honey	942	HONEY
86	naked	590	NAKED
87	to sit	1416	SIT
88	in	1460	IN
89	white	1335	WHITE
90	earth	1228	EARTH (SOIL)
91	horn	939	HORN (INSTRUMENT)
92	name	1405	NAME
93	six	1703	SIX
94	wind	960	WIND
95	to eat	1336	EAT
96	hound	2009	DOG
97	needle	1382	NEEDLE (FOR SEWING)
98	snow	784	SNOW
99	one	1493	ONE
100	wool	964	WOOL
101	eight	1705	EIGHT
102	house	1252	HOUSE
103	new	1231	NEW
104	sore	51	SORE
105	word	1599	WORD
106	eye	1248	EYE
107	hundred	1634	HUNDRED
108	night	1233	NIGHT
109	stone	857	STONE
110	long	1203	LONG
